director_id,first_name,last_name,age,email,country,phone_number,years_of_experience,education_level,awards_received
1,Ronna,Dalgetty,42,rdalgetty0@t.co,Indonesia,119-755-5172,5,PhD,35
2,Mart,Mayer,51,mmayer1@hc360.com,China,959-834-3570,9,PhD,39
3,Sarette,Vayne,49,svayne2@is.gd,Vietnam,925-113-4707,5,High School Diploma,81
4,Perle,Schechter,63,pschechter3@adobe.com,China,504-645-5563,15,Bachelor's Degree,65
5,Cindelyn,Hebburn,35,chebburn4@istockphoto.com,China,937-493-8927,43,PhD,98
6,Gerianne,Stangroom,58,gstangroom5@simplemachines.org,China,659-865-2665,33,Bachelor's Degree,49
7,Cristi,Curness,31,ccurness6@istockphoto.com,Finland,832-570-4056,20,Bachelor's Degree,20
8,Howie,Criag,48,hcriag7@yandex.ru,Colombia,168-111-9016,21,PhD,34
9,Jo ann,Dansken,40,jdansken8@slate.com,Indonesia,470-549-5679,39,Master's Degree,65
10,Roz,Schoroder,33,rschoroder9@e-recht24.de,Indonesia,117-668-0184,31,Bachelor's Degree,81
11,Daniel,Cowmeadow,60,dcowmeadowa@businessinsider.com,Indonesia,477-480-1206,43,PhD,73
12,Barri,Malbon,34,bmalbonb@illinois.edu,South Africa,241-400-0758,13,PhD,38
13,Alex,Hasley,70,ahasleyc@hatena.ne.jp,Indonesia,219-781-1886,42,Bachelor's Degree,17
14,Johan,Pellingar,67,jpellingard@mit.edu,Argentina,407-161-0162,49,Bachelor's Degree,55
15,Maddie,holmes,46,mholmese@cdc.gov,Finland,727-694-9357,13,High School Diploma,53
16,Hugh,Thal,60,hthalf@dmoz.org,Pakistan,497-393-6786,22,Master's Degree,20
17,Artie,Madrell,67,amadrellg@paginegialle.it,Vietnam,930-797-0455,24,Master's Degree,17
18,Kerstin,Polon,43,kpolonh@sohu.com,Yemen,852-843-4615,12,High School Diploma,14
19,Lonnie,Stoop,42,lstoopi@cloudflare.com,Hungary,331-681-6565,0,Master's Degree,11
20,Angele,Sparshatt,34,asparshattj@cargocollective.com,China,336-890-0442,25,PhD,5
21,Dorene,Stickells,39,dstickellsk@accuweather.com,China,967-101-5240,8,PhD,68
22,Hendrik,Baglin,51,hbaglinl@homestead.com,China,199-535-0286,38,High School Diploma,6
23,Gustavo,Scading,65,gscadingm@narod.ru,Czech Republic,734-805-7568,21,High School Diploma,74
24,Shellie,Almeida,63,salmeidan@sogou.com,Czech Republic,284-795-2919,48,Bachelor's Degree,100
25,Nina,Castagnet,53,ncastagneto@ask.com,Russia,869-487-6162,36,High School Diploma,39
26,Carlyle,Camilli,33,ccamillip@usgs.gov,Brazil,142-794-3766,26,PhD,24
27,Aline,Lorenzetti,70,alorenzettiq@bing.com,Japan,789-973-8543,16,PhD,91
28,Fransisco,Tosh,67,ftoshr@woothemes.com,Portugal,292-671-4773,18,Bachelor's Degree,71
29,Norris,McGuigan,62,nmcguigans@cnn.com,Palestinian Territory,415-993-0264,39,PhD,83
